source,target
both_has_coiled_coil,both_high_evidence
both_has_coiled_coil,both_long_protein
both_has_coiled_coil,both_membrane_related
both_has_coiled_coil,both_reviewed
both_has_coiled_coil,domain_match
both_has_coiled_coil,same_location
both_high_evidence,both_long_protein
both_high_evidence,both_membrane_related
both_high_evidence,domain_match
both_high_evidence,family_match
both_high_evidence,go_bp_overlap
both_high_evidence,same_location
both_long_protein,both_membrane_related
both_long_protein,go_bp_overlap
both_long_protein,same_location
both_reviewed,both_high_evidence
both_reviewed,both_long_protein
both_reviewed,both_membrane_related
both_reviewed,domain_match
both_reviewed,family_match
both_reviewed,go_bp_overlap
both_reviewed,label
both_reviewed,length_similar
both_reviewed,physical_interaction
both_reviewed,same_location
domain_match,both_long_protein
domain_match,both_membrane_related
domain_match,family_match
domain_match,go_bp_overlap
domain_match,length_similar
domain_match,same_location
family_match,both_long_protein
family_match,both_membrane_related
family_match,go_bp_overlap
family_match,same_location
go_bp_overlap,same_location
label,high_conf_interaction
label,physical_interaction
length_similar,both_long_protein
length_similar,both_membrane_related
length_similar,family_match
physical_interaction,high_conf_interaction
same_location,both_membrane_related
same_pathway,both_high_evidence
same_pathway,both_reviewed
same_pathway,domain_match
same_pathway,go_bp_overlap
same_pathway,length_similar
